regime,left,right,length,source,metric,mean,ci95_low,ci95_high
0p6b_full,synthid_depth10,null,1024,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,self_bleu,0.00027323381625213116,-0.002615513916333864,0.0033082543490702367
0p6b_full,synthid_depth10,null,400,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,distinct_3,-0.011155778894472373,-0.020025753768844228,-0.003240577889447247
0p6b_full,synthid_depth10,null,400,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,repeated_4gram_fraction,0.009798488664987403,0.003224181360201513,0.01732997481108312
0p6b_full,synthid_depth10,null,400,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,self_bleu,0.0015512147496724194,-0.0017707995866063195,0.005381804466572586
0p6b_full,textseal_on,null,1024,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,distinct_3,-0.011457925636007829,-0.022397260273972593,0.001654843444226988
0p6b_full,textseal_on,null,1024,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,repeated_4gram_fraction,0.0027619980411361378,-0.0102360430950049,0.012889569049951026
0p6b_full,textseal_on,null,1024,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,self_bleu,0.023874544693833842,0.019274468260946847,0.028503141216962964
0p6b_full,textseal_on,null,400,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,distinct_3,-0.01251256281407035,-0.02055339195979899,-0.0060552763819095405
0p6b_full,textseal_on,null,400,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,repeated_4gram_fraction,0.008463476070528967,0.0028457178841309796,0.01602078085642317
0p6b_full,textseal_on,null,400,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,self_bleu,0.031790740485235086,0.024189145334894902,0.03980515662856253
0p6b_full,gumbel_on,null,1024,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,distinct_3,-0.018855185909980435,-0.032418542074364,-0.0028835616438356417
0p6b_full,gumbel_on,null,1024,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,repeated_4gram_fraction,0.007835455435847205,-0.007025465230166507,0.02004211557296766
0p6b_full,gumbel_on,null,1024,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,self_bleu,0.2045444598135446,0.1774915589917919,0.23353011902241236
0p6b_full,gumbel_on,null,400,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,distinct_3,-0.008015075376884425,-0.01339195979899498,-0.002586683417085433
0p6b_full,gumbel_on,null,400,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,repeated_4gram_fraction,0.003022670025188918,-0.0003526448362720348,0.006372795969773295
0p6b_full,gumbel_on,null,400,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,self_bleu,0.41751304755783913,0.3550470192229734,0.48301903947479313
8b_t07,prc,synthid_depth2,1024,outputs/self_bleu_temperature/t07_v1/summary.json,distinct_3,-0.03404109589041095,-0.08222407045009786,0.01702079256360076
8b_t07,prc,synthid_depth2,1024,outputs/self_bleu_temperature/t07_v1/summary.json,repeated_4gram_fraction,0.03611165523996083,-0.01855093046033299,0.08709329089128304
8b_t07,prc,synthid_depth2,1024,outputs/self_bleu_temperature/t07_v1/summary.json,self_bleu,-0.010975262322831088,-0.01975932199496661,-0.0022653950926589134
8b_t07,prc,synthid_depth2,1024,outputs/self_bleu_temperature/t07_v1/summary.json,tpr,-0.9,-0.95,-0.84
8b_t07,prc,synthid_depth2,400,outputs/self_bleu_temperature/t07_v1/summary.json,distinct_3,-0.005376884422110537,-0.041381909547738675,0.02937751256281406
8b_t07,prc,synthid_depth2,400,outputs/self_bleu_temperature/t07_v1/summary.json,repeated_4gram_fraction,0.0069017632241813575,-0.02650251889168766,0.040028967254408056
8b_t07,prc,synthid_depth2,400,outputs/self_bleu_temperature/t07_v1/summary.json,self_bleu,-0.014595723152236595,-0.024099575821842488,-0.005319496675031837
